attempts_on_target_from_inside_the_area,name,id,yellow_cards,fouls_suffered,role,attempts_inside_the_area,crosses_attempted,corners,distance_covered__km_,height,top_speed__km_h_,recovered_balls,country,penalties_scored,distance_covered_in_possession__km_,shots_blocked,fouls_causing_penalty,goals_scored_by_backheel,total_passes,short_passes_completed,age,attempts_outside_the_area,offsides,medium_passes_completed,red_cards,jerseynum,tackles_suffered,clearances,attempts_on_target,headed_goals,attempts_on_target_from_outside_the_area,international_goals,tackles,attempts,goals_scored_with_the_right_foot,blocks,lost_balls,attempts_off_target,save_rate,passes_completed,goals_scored,long_passes_completed,dribbles_into_penalty_area,international_caps,crosses_completed,tackles_won,shots_from_free_kick,goal_kicks_successfully_reaching_a_team_mate,throws,distance_covered_not_in_possession__km_,fouls_committed,deliveries_into_penalty_area,minutes_played,date_of_birth,goals_scored_with_the_left_foot,saves,matches_played,attempts_against_woodwork,assists
0,gu yasha,298538,0,2,forward,2,10,4,33.2,165.0,0,0,china pr,0,0,1,0,0,112,0,28,0,2,0,0,17,0,4,0,0,0,13,2,2,0,0,0,1,0,64,0,0,0,120,0,0,0,0,0,0,6,0,287,1990-11-28 00:00:00,0,0,4,0,0
,liu yanqiu,358983,,,midfielder,,,,,159.0,,,china pr,,,,,,,,23,,,,,23,,,,,,0,,,,,,,,,,,,2,,,,,,,,,,1995-12-31 00:00:00,,,,,
1,yang li,386982,1,1,forward,2,0,0,19.1,167.0,0,0,china pr,0,0,4,0,0,41,0,28,4,1,0,0,9,0,2,1,0,0,31,1,6,0,0,0,1,0,28,0,0,0,62,0,0,0,0,0,0,6,0,168,1991-01-31 00:00:00,0,0,4,0,0
,aline,395358,,,goalkeeper,,,,,162.0,,,brazil,,,,,,,,30,,,,,12,,,,,,0,,,,,,,,,,,,8,,,,,,,,,,1989-04-15 00:00:00,,,,,
0,barbara,251049,0,2,goalkeeper,0,0,0,17.6,171.0,0,0,brazil,0,0,0,0,0,94,0,31,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,70.6,81,0,0,0,74,0,0,0,0,0,0,0,0,390,1988-07-04 00:00:00,0,12,4,0,0
1,andressa,322662,1,1,midfielder,1,14,8,20.9,168.0,0,0,brazil,0,0,1,0,0,78,0,26,3,0,0,0,7,0,8,2,0,1,18,6,4,0,0,0,1,0,61,0,0,0,84,0,0,1,0,0,0,1,0,180,1992-11-10 00:00:00,0,0,2,0,2
2,marta,190358,0,7,forward,2,12,7,27,162.0,0,0,brazil,2,0,1,0,0,113,0,33,4,0,0,0,10,0,4,3,0,1,107,2,6,0,0,0,2,0,78,2,0,0,147,0,0,0,0,0,0,4,0,249,1986-02-19 00:00:00,2,0,3,0,0
1,thaisa,387316,0,2,midfielder,2,1,0,41.4,166.0,0,0,brazil,0,0,2,0,0,132,0,30,2,0,0,0,5,0,11,1,0,0,6,5,4,0,0,0,1,0,102,1,0,0,82,0,0,0,0,0,0,6,0,390,1988-12-17 00:00:00,1,0,4,0,0
,camila,357768,,,midfielder,,,,,159.0,,,brazil,,,,,,,,24,,,,,15,,,,,,2,,,,,,,,,,,,17,,,,,,,,,,1994-10-10 00:00:00,,,,,
0,poliana,322664,0,0,defender,0,0,0,5.6,172.0,0,0,brazil,0,0,0,0,0,17,0,28,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,63,0,0,0,0,0,0,0,0,45,1991-02-06 00:00:00,0,0,2,0,0
1,geyse,398377,0,0,forward,1,1,0,5.5,169.0,0,0,brazil,0,0,0,0,0,11,0,21,0,0,0,0,23,0,2,1,0,0,0,1,1,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,3,0,49,1998-03-27 00:00:00,0,0,2,0,0
0,formiga,31,3,0,midfielder,0,1,0,24.6,162.0,0,0,brazil,0,0,0,0,0,93,0,41,0,0,0,0,8,0,16,0,0,0,26,6,0,0,1,0,0,0,73,0,0,0,189,0,0,0,0,0,0,5,0,210,1978-03-03 00:00:00,0,0,3,0,0
