attempts_on_target_from_inside_the_area,name,id,yellow_cards,fouls_suffered,role,attempts_inside_the_area,crosses_attempted,corners,distance_covered__km_,height,top_speed__km_h_,recovered_balls,country,penalties_scored,distance_covered_in_possession__km_,shots_blocked,fouls_causing_penalty,goals_scored_by_backheel,total_passes,short_passes_completed,age,attempts_outside_the_area,offsides,medium_passes_completed,red_cards,jerseynum,tackles_suffered,clearances,attempts_on_target,headed_goals,attempts_on_target_from_outside_the_area,international_goals,tackles,attempts,goals_scored_with_the_right_foot,blocks,lost_balls,attempts_off_target,save_rate,passes_completed,goals_scored,long_passes_completed,dribbles_into_penalty_area,international_caps,crosses_completed,tackles_won,shots_from_free_kick,goal_kicks_successfully_reaching_a_team_mate,throws,distance_covered_not_in_possession__km_,fouls_committed,deliveries_into_penalty_area,minutes_played,date_of_birth,goals_scored_with_the_left_foot,saves,matches_played,attempts_against_woodwork,assists
0,jordyn huitema,397234,0,1,forward,0,0,0,10.5,181.0,0,0,canada,0,0,0,0,0,17,0,18,1,1,0,0,9,0,3,0,0,0,6,5,1,0,0,0,1,0,16,0,0,0,22,0,0,0,0,0,0,1,0,90,2001-05-08 00:00:00,0,0,1,0,0
,julia grosso,397230,,,midfielder,,,,,170.0,,,canada,,,,,,,,18,,,,,7,,,,,,0,,,,,,,,,,,,16,,,,,,,,,,2000-08-29 00:00:00,,,,,
0,stephanie labbe,199948,0,0,goalkeeper,0,0,0,22.8,178.0,0,0,canada,0,0,0,0,0,96,0,32,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,50,65,0,0,0,65,0,0,0,0,0,0,0,0,360,1986-10-10 00:00:00,0,3,4,0,0
0,tameka yallop,326972,0,6,midfielder,3,8,0,35.2,160.0,0,0,australia,0,0,2,0,0,77,0,28,5,0,0,0,13,0,6,1,0,1,10,3,8,0,0,0,5,0,55,0,0,0,82,1,0,0,0,0,0,5,0,293,1991-06-16 00:00:00,0,0,3,0,0
,teagan micah,419880,,,goalkeeper,,,,,176.0,,,australia,,,,,,,,21,,,,,12,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,1997-10-20 00:00:00,,,,,
0,amy harrison,387001,0,0,midfielder,0,0,0,0.1,172.0,0,0,australia,0,0,0,0,0,0,0,23,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1996-04-21 00:00:00,0,0,1,0,0
0,clare polkinghorne,251935,0,1,defender,1,0,0,12.2,171.0,0,0,australia,0,0,0,0,0,68,0,30,0,0,0,0,4,0,6,0,0,0,9,0,1,0,2,0,1,0,59,0,0,0,119,0,0,0,0,0,0,0,0,116,1989-02-01 00:00:00,0,0,2,0,0
0,elise kellond-knight,255278,0,5,midfielder,0,15,9,21.5,165.0,0,0,australia,0,0,1,1,0,156,0,28,5,0,0,0,8,0,2,1,0,1,2,1,5,0,0,0,3,0,121,1,0,0,109,0,0,1,0,0,0,4,0,191,1990-08-10 00:00:00,1,0,3,0,0
0,aivi luik,326967,0,0,midfielder,0,0,0,0.5,166.0,0,0,australia,0,0,0,0,0,5,0,34,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,22,0,0,0,0,0,0,0,0,3,1985-03-18 00:00:00,0,0,1,0,0
1,hayley raso,386995,0,5,forward,3,8,0,21.6,161.0,0,0,australia,0,0,1,0,0,74,0,24,0,2,0,0,16,0,2,1,0,0,3,2,3,0,0,0,1,0,46,0,0,0,39,0,0,0,0,0,0,4,0,188,1994-09-05 00:00:00,0,0,4,0,0
0,lydia williams,225531,0,1,goalkeeper,0,0,0,21.9,175.0,0,0,australia,0,0,0,0,0,80,0,31,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,68.4,73,0,0,0,82,0,0,0,0,0,0,0,0,390,1988-05-13 00:00:00,0,13,4,0,0
0,steph catley,386998,0,1,defender,0,3,2,43.6,171.0,0,0,australia,0,0,0,0,0,257,0,25,0,0,0,0,7,0,7,0,0,0,2,0,0,0,1,0,0,0,231,0,0,0,76,0,0,0,0,0,0,4,0,390,1994-01-26 00:00:00,0,0,4,0,0
,gema simon,332984,,,defender,,,,,162.0,,,australia,,,,,,,,28,,,,,2,,,,,,0,,,,,,,,,,,,11,,,,,,,,,,1990-07-19 00:00:00,,,,,
0,katrina gorry,386996,0,0,midfielder,0,1,0,13.4,153.0,0,0,australia,0,0,0,0,0,71,0,26,0,0,0,0,19,0,1,0,0,0,14,1,0,0,0,0,0,0,58,0,0,0,76,0,0,0,0,0,0,3,1,108,1992-08-13 00:00:00,0,0,2,0,1
0,karly roestbakken,419882,0,0,defender,0,0,0,11.1,165.0,0,0,australia,0,0,0,0,0,63,0,18,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,58,0,0,0,3,0,0,0,0,0,0,0,0,95,2001-01-17 00:00:00,0,0,3,0,0
,mackenzie arnold,386993,,,goalkeeper,,,,,181.0,,,australia,,,,,,,,25,,,,,18,,,,,,0,,,,,,,,,,,,23,,,,,,,,,,1994-02-25 00:00:00,,,,,
3,caitlin foord,326979,0,4,forward,5,4,0,38.7,169.0,0,0,australia,0,0,2,0,0,106,0,24,2,1,0,0,9,0,1,3,0,0,17,1,7,1,2,0,2,0,75,1,0,0,76,0,0,0,0,0,0,1,0,330,1994-11-11 00:00:00,0,0,4,0,0
1,emily gielnik,395166,0,0,forward,1,26,3,20.4,178.0,0,0,australia,0,0,0,0,0,109,0,27,0,0,0,0,15,0,9,1,0,0,7,7,1,0,0,0,0,0,65,0,0,0,32,0,0,0,0,0,0,1,2,177,1992-05-13 00:00:00,0,0,3,0,1
10,sam kerr,326971,0,2,forward,17,10,0,40.4,168.0,0,0,australia,0,0,3,0,0,103,0,25,4,5,0,0,20,0,3,12,2,2,36,1,21,1,1,0,6,0,56,5,0,0,81,0,0,0,0,0,0,2,0,390,1993-09-10 00:00:00,2,0,4,0,0
,mary fowler,419898,,,forward,,,,,171.0,,,australia,,,,,,,,16,,,,,17,,,,,,0,,,,,,,,,,,,4,,,,,,,,,,2003-02-14 00:00:00,,,,,
1,chloe logarzo,394094,0,9,midfielder,3,6,1,43.7,166.0,0,0,australia,0,0,0,0,0,171,0,24,2,0,0,0,6,0,6,2,0,1,7,4,5,1,1,0,3,0,135,1,0,0,42,0,0,0,0,0,0,5,0,361,1994-12-22 00:00:00,0,0,4,0,1
0,alanna kennedy,386994,0,3,defender,2,1,0,39.8,176.0,0,0,australia,0,0,0,0,0,295,0,24,1,0,0,1,14,0,8,0,0,0,7,3,3,0,4,0,3,0,272,0,0,0,82,0,0,0,0,0,0,3,0,374,1995-01-21 00:00:00,0,0,4,0,0
0,emily van egmond,326968,1,4,midfielder,0,10,9,44.5,174.0,0,0,australia,0,0,1,0,0,301,0,25,4,0,0,0,10,0,8,2,0,2,18,4,4,0,1,0,1,0,236,0,0,0,90,0,0,1,0,0,0,7,0,386,1993-07-12 00:00:00,0,0,4,0,0
0,ellie carpenter,394063,0,2,defender,0,11,0,40.2,164.0,0,0,australia,0,0,0,0,0,258,0,19,0,0,0,0,21,0,3,0,0,0,1,2,0,0,2,0,0,0,202,0,0,0,36,0,0,0,0,0,0,2,0,389,2000-04-28 00:00:00,0,0,4,0,1
0,lisa de vanna,190165,1,2,forward,1,1,0,10.8,157.0,0,0,australia,0,0,0,0,0,34,0,34,0,0,0,0,11,0,0,0,0,0,47,0,1,0,0,0,1,0,23,0,0,0,150,0,0,0,0,0,0,5,0,92,1984-11-14 00:00:00,0,0,2,0,0
,teigen allen,326969,,,defender,,,,,168.0,,,australia,,,,,,,,25,,,,,23,,,,,,0,,,,,,,,,,,,40,,,,,,,,,,1994-02-12 00:00:00,,,,,
,cecilie redisch kvamme,420297,,,defender,,,,,158.0,,,norway,,,,,,,,23,,,,,19,,,,,,0,,,,,,,,,,,,3,,,,,,,,,,1995-09-11 00:00:00,,,,,
0,maren mjelde,295585,0,2,defender,2,0,0,52.9,165.0,0,0,norway,0,0,1,0,0,287,0,29,4,1,0,0,6,0,21,1,0,1,19,3,6,0,9,0,4,0,258,0,0,0,141,0,0,3,0,0,0,0,0,480,1989-11-06 00:00:00,0,0,5,0,0
1,guro reiten,357273,0,7,midfielder,3,27,12,52.6,166.0,0,0,norway,0,0,3,0,0,166,0,24,4,0,0,0,16,0,8,1,0,0,6,5,7,0,3,0,3,0,109,1,0,0,42,0,0,0,0,0,0,1,0,463,1994-07-26 00:00:00,1,0,5,0,1
6,caroline graham hansen,338971,0,4,forward,9,23,14,50.6,173.0,0,0,norway,1,0,4,0,0,153,0,24,6,0,0,0,10,0,6,7,0,1,26,7,15,1,1,0,4,0,92,1,0,0,77,0,0,1,0,0,0,4,0,444,1995-02-18 00:00:00,0,0,5,0,1
,emilie nautnes,420303,,,forward,,,,,168.0,,,norway,,,,,,,,20,,,,,22,,,,,,1,,,,,,,,,,,,6,,,,,,,,,,1999-01-13 00:00:00,,,,,
1,ingrid moe wold,295594,0,2,defender,2,7,0,50.2,164.0,0,0,norway,0,0,1,0,0,230,0,29,2,0,0,0,2,0,9,1,0,0,3,1,4,0,3,0,2,0,172,0,0,0,65,0,0,0,0,0,0,2,0,453,1990-01-29 00:00:00,0,0,5,0,0
0,ingrid syrstad engen,420291,1,5,midfielder,1,0,1,60.8,177.0,0,0,norway,0,0,1,1,0,234,0,21,1,1,0,0,14,0,11,0,0,0,2,4,2,0,3,0,1,0,184,0,0,0,21,0,0,0,0,0,0,8,0,480,1998-04-29 00:00:00,0,0,5,0,0
,oda marie hove bogstad,420289,,,goalkeeper,,,,,170.0,,,norway,,,,,,,,23,,,,,23,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,1996-04-24 00:00:00,,,,,
0,karina saevik,420305,0,3,midfielder,3,2,0,31.9,172.0,0,0,norway,0,0,1,0,0,76,0,23,1,0,0,0,21,0,6,0,0,0,1,4,4,0,1,0,3,0,54,0,0,0,8,0,0,0,0,0,0,4,0,257,1996-03-24 00:00:00,0,0,4,0,1
0,emilie haavi,328701,0,0,midfielder,0,0,0,0.6,164.0,0,0,norway,0,0,0,0,0,1,0,27,0,0,0,0,20,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,1,1992-06-16 00:00:00,0,0,1,0,0
,cecilie fiskerstrand,387154,,,goalkeeper,,,,,174.0,,,norway,,,,,,,,23,,,,,12,,,,,,0,,,,,,,,,,,,21,,,,,,,,,,1996-03-20 00:00:00,,,,,
0,ingrid hjelmseth,199081,0,2,goalkeeper,0,0,0,26,173.0,0,0,norway,0,0,0,0,0,79,0,39,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,70.8,67,0,0,0,137,0,0,0,0,0,0,0,0,480,1980-04-10 00:00:00,0,17,5,0,0
0,amalie vevle eikeland,357301,0,2,midfielder,0,1,0,2.5,164.0,0,0,norway,0,0,0,0,0,4,0,23,0,0,0,0,15,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,16,1995-08-26 00:00:00,0,0,1,0,0
,therese sessy asland,420288,,,midfielder,,,,,160.0,,,norway,,,,,,,,23,,,,,13,,,,,,1,,,,,,,,,,,,6,,,,,,,,,,1995-08-26 00:00:00,,,,,
0,elise thorsnes,264706,0,0,forward,0,0,0,4.4,174.0,0,0,norway,0,0,0,0,0,6,0,30,1,0,0,0,7,0,1,1,0,1,19,1,1,0,0,0,0,0,5,0,0,0,118,0,0,0,0,0,0,1,0,31,1988-08-14 00:00:00,0,0,2,0,0
0,maria thorisdottir,357283,1,3,defender,0,0,0,49.1,170.0,0,0,norway,0,0,0,1,0,276,0,26,0,0,0,0,3,0,25,0,0,0,1,1,0,0,1,0,0,0,217,0,0,0,37,0,0,0,0,0,0,7,0,480,1993-06-05 00:00:00,0,0,5,0,0
0,vilde boe risa,420304,1,4,midfielder,0,4,0,54,164.0,0,0,norway,0,0,0,0,0,238,0,23,3,0,0,0,8,0,13,1,0,1,2,8,3,0,1,0,2,0,184,0,0,0,24,0,0,0,0,0,0,7,0,473,1995-07-13 00:00:00,0,0,5,0,0
0,kristine minde,302839,1,2,defender,0,9,0,52.7,169.0,0,0,norway,0,0,0,0,0,210,0,26,0,0,0,0,17,0,19,0,0,0,9,11,0,0,3,0,0,0,155,0,0,0,102,0,0,0,0,0,0,5,0,480,1992-08-08 00:00:00,0,0,5,0,0
1,synne skinnes hansen,420293,0,0,defender,1,2,0,5.4,171.0,0,0,norway,0,0,0,0,0,19,0,23,0,0,0,0,5,0,1,1,0,0,0,0,1,0,0,0,0,0,13,0,0,0,17,0,0,0,0,0,0,1,0,27,1995-08-12 00:00:00,0,0,3,0,0
,stine hovland,420295,,,defender,,,,,172.0,,,norway,,,,,,,,28,,,,,4,,,,,,0,,,,,,,,,,,,7,,,,,,,,,,1991-01-31 00:00:00,,,,,
2,lisa-marie utland,357300,1,2,forward,8,3,0,25.8,171.0,0,0,norway,0,0,3,0,0,40,0,26,0,5,0,0,11,0,2,2,0,0,15,0,8,1,1,0,3,0,23,1,0,0,46,0,0,0,0,0,0,7,0,208,1992-09-19 00:00:00,0,0,5,0,0
0,frida maanum,420300,0,3,midfielder,1,1,0,12.9,171.0,0,0,norway,0,0,2,0,0,32,0,19,2,0,0,0,18,0,0,0,0,0,0,2,3,0,0,0,1,0,22,0,0,0,24,0,0,0,0,0,0,0,0,91,1999-07-16 00:00:00,0,0,4,0,0
3,isabell herlovsen,264695,0,6,forward,4,6,0,46.4,170.0,0,0,norway,1,0,2,0,0,86,0,31,3,5,0,0,9,0,4,3,0,0,62,3,7,2,0,0,2,0,57,2,0,0,131,0,0,0,0,0,0,3,0,416,1988-06-23 00:00:00,0,0,5,0,0
0,chloe arthur,420103,0,0,defender,0,0,0,2.1,169.0,0,0,scotland,0,0,0,0,0,12,0,24,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,20,0,0,0,0,0,0,0,0,15,1995-01-21 00:00:00,0,0,1,0,0
1,lisa evans,414973,0,1,forward,1,1,1,30.2,166.0,0,0,scotland,0,0,0,0,0,68,0,27,1,1,0,0,11,0,1,1,0,0,17,1,2,0,0,0,1,0,50,0,0,0,81,0,0,0,0,0,0,1,0,261,1992-05-21 00:00:00,0,0,3,0,1
1,jenny beattie,356055,1,0,defender,2,0,0,27.5,178.0,0,0,scotland,0,0,0,0,0,157,0,28,0,0,0,0,5,0,9,1,1,0,23,4,2,0,2,0,1,0,140,1,0,0,127,0,0,0,0,0,0,1,0,270,1991-05-13 00:00:00,0,0,3,0,0
0,caroline weir,420100,1,3,midfielder,0,4,6,30.3,172.0,0,0,scotland,0,0,1,0,0,166,0,24,5,0,0,0,9,0,5,2,0,2,8,6,5,0,2,0,2,0,130,0,0,0,66,0,0,0,0,0,0,5,1,270,1995-06-20 00:00:00,0,0,3,0,1
0,nicola docherty,420078,1,4,defender,0,1,0,14.3,170.0,0,0,scotland,0,0,0,1,0,61,0,26,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,39,0,0,0,21,0,0,0,0,0,0,6,0,145,1992-08-23 00:00:00,0,0,2,0,0
0,lee alexander,420095,1,1,goalkeeper,0,0,0,13.6,169.0,0,0,scotland,0,0,0,0,0,53,0,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,58.8,40,0,0,0,20,0,0,0,0,0,0,0,0,270,1991-09-23 00:00:00,0,10,3,0,0
0,christie murray,420104,0,1,midfielder,0,0,0,9.2,156.0,0,0,scotland,0,0,0,0,0,23,0,29,0,0,0,0,16,0,2,0,0,0,4,2,0,0,0,0,0,0,17,0,0,0,62,0,0,0,0,0,0,0,0,87,1990-05-03 00:00:00,0,0,1,0,0
0,hayley lauder,420099,0,1,defender,0,0,0,9.4,170.0,0,0,scotland,0,0,0,0,0,62,0,29,1,0,0,0,7,0,0,1,0,1,9,0,1,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0,0,0,0,90,1990-06-04 00:00:00,0,0,1,0,0
0,sophie howard,357375,0,0,defender,0,0,0,8.2,171.0,0,0,scotland,0,0,0,1,0,28,0,25,0,0,0,0,15,0,2,0,0,0,1,1,0,0,0,0,0,0,18,0,0,0,16,0,0,0,0,0,0,1,0,79,1993-09-17 00:00:00,0,0,2,0,0
3,erin cuthbert,420110,1,11,forward,7,1,0,28.7,163.0,0,0,scotland,0,0,2,0,0,77,0,20,4,0,0,0,22,0,0,4,0,1,11,4,11,1,0,0,5,0,56,1,0,0,33,0,0,0,0,0,0,6,0,270,1998-07-19 00:00:00,0,0,3,0,1
,shannon lynn,420102,,,goalkeeper,,,,,175.0,,,scotland,,,,,,,,33,,,,,12,,,,,,0,,,,,,,,,,,,30,,,,,,,,,,1985-10-22 00:00:00,,,,,
0,fiona brown,420108,0,0,forward,0,0,0,1.6,165.0,0,0,scotland,0,0,1,0,0,1,0,24,1,0,0,0,20,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,9,1995-03-31 00:00:00,0,0,2,0,0
0,lana clelland,420107,0,1,forward,0,0,0,1.7,169.0,0,0,scotland,0,0,0,0,0,2,0,26,1,0,0,0,19,0,0,1,0,1,4,0,1,0,0,0,0,0,1,1,0,0,26,0,0,0,0,0,0,0,0,14,1993-01-26 00:00:00,1,0,1,0,0
,joelle murray,265048,,,defender,,,,,167.0,,,scotland,,,,,,,,32,,,,,17,,,,,,1,,,,,,,,,,,,48,,,,,,,,,,1986-11-07 00:00:00,,,,,
0,kirsty smith,420096,0,0,defender,0,0,0,22.4,164.0,0,0,scotland,0,0,0,0,0,110,0,25,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,80,0,0,0,38,0,0,0,0,0,0,0,0,211,1994-01-06 00:00:00,0,0,3,0,0
0,rachel corsie,420098,1,1,defender,1,0,0,27.5,175.0,0,0,scotland,0,0,2,1,0,155,0,29,1,0,0,0,4,0,13,0,0,0,16,4,2,0,2,0,0,0,130,0,0,0,112,0,0,0,0,0,0,1,0,270,1989-08-17 00:00:00,0,0,3,0,0
0,lizzie arnot,420111,0,0,midfielder,0,1,0,8.2,169.0,0,0,scotland,0,0,0,0,0,12,0,23,0,1,0,0,23,0,1,0,0,0,2,1,0,0,0,0,0,0,8,0,0,0,28,0,0,0,0,0,0,0,0,63,1996-03-01 00:00:00,0,0,2,0,0
3,claire emslie,420106,0,2,forward,5,3,0,22.6,171.0,0,0,scotland,0,0,0,0,0,63,0,25,0,0,0,0,18,0,2,3,0,0,4,3,5,1,0,0,2,0,40,1,0,0,24,0,0,0,0,0,0,3,0,210,1994-03-08 00:00:00,0,0,3,0,0
1,kim little,356182,0,2,midfielder,1,1,6,30.4,163.0,0,0,scotland,0,0,0,0,0,109,0,29,0,1,0,0,8,0,0,1,0,0,54,0,1,1,1,0,0,0,94,1,0,0,136,0,0,0,0,0,0,1,0,270,1990-06-29 00:00:00,0,0,3,0,0
0,jane ross,356727,0,0,forward,0,0,0,8.5,165.0,0,0,scotland,0,0,0,0,0,16,0,29,0,1,0,0,13,0,2,0,0,0,58,2,0,0,0,0,0,0,11,0,0,0,128,0,0,0,0,0,0,0,0,76,1989-09-18 00:00:00,0,0,1,0,0
,jenna fife,420109,,,goalkeeper,,,,,175.0,,,scotland,,,,,,,,23,,,,,21,,,,,,0,,,,,,,,,,,,4,,,,,,,,,,1995-12-01 00:00:00,,,,,
1,leanne crichton,420101,0,0,midfielder,1,0,0,9.8,172.0,0,0,scotland,0,0,0,0,0,35,0,31,0,0,0,0,10,0,1,1,0,0,3,3,1,0,1,0,0,0,30,0,0,0,65,0,0,0,0,0,0,4,0,90,1987-08-06 00:00:00,0,0,1,0,0
,jo love,191821,,,midfielder,,,,,165.0,,,scotland,,,,,,,,33,,,,,6,,,,,,13,,,,,,,,,,,,191,,,,,,,,,,1985-12-06 00:00:00,,,,,
0,katie bowen,301461,0,0,midfielder,0,1,0,31.9,172.0,0,0,new zealand,0,0,0,0,0,83,0,25,0,0,0,0,14,0,8,0,0,0,3,6,0,0,0,0,0,0,58,0,0,0,65,0,0,0,0,0,0,1,0,270,1994-04-15 00:00:00,0,0,3,0,0
0,erin nayler,301483,0,0,goalkeeper,0,0,0,14.4,177.0,0,0,new zealand,0,0,0,0,0,41,0,27,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,68.8,21,0,0,0,68,0,0,0,0,0,0,0,0,270,1992-04-17 00:00:00,0,11,3,0,0
0,emma kete,255358,0,0,forward,0,0,0,1,163.0,0,0,new zealand,0,0,0,0,0,2,0,31,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,5,1987-09-01 00:00:00,0,0,1,0,0
1,sarah gregorius,252520,0,8,forward,2,0,0,24.2,156.0,0,0,new zealand,0,0,0,0,0,43,0,31,0,2,0,0,11,0,3,1,0,0,35,3,2,0,0,0,1,0,27,0,0,0,98,0,0,0,0,0,0,0,0,225,1987-08-06 00:00:00,0,0,3,0,0
0,ali riley,252502,0,5,defender,0,4,1,29.9,162.0,0,0,new zealand,0,0,0,0,0,146,0,31,0,0,0,0,7,0,10,0,0,0,1,3,0,0,0,0,0,0,95,0,0,0,130,0,0,0,0,0,0,0,0,270,1987-10-30 00:00:00,0,0,3,0,0
0,ria percival,252519,0,6,defender,0,6,2,31.3,161.0,0,0,new zealand,0,0,1,0,0,98,0,29,3,1,0,0,2,0,4,1,0,1,14,2,3,0,1,0,1,0,58,0,0,0,146,0,0,0,0,0,0,2,0,270,1989-12-07 00:00:00,0,0,3,0,0
0,annalie longo,252503,0,2,midfielder,0,0,0,13.6,158.0,0,0,new zealand,0,0,0,0,0,29,0,28,0,0,0,0,10,0,4,0,0,0,15,0,0,0,0,0,0,0,17,0,0,0,120,0,0,0,0,0,0,2,0,97,1991-07-01 00:00:00,0,0,3,0,0
,daisy cleverley,358194,,,midfielder,,,,,167.0,,,new zealand,,,,,,,,22,,,,,20,,,,,,2,,,,,,,,,,,,9,,,,,,,,,,1997-04-30 00:00:00,,,,,
0,anna green,269352,1,1,defender,0,0,0,9.8,168.0,0,0,new zealand,0,0,0,0,0,34,0,28,0,0,0,0,3,0,1,0,0,0,7,0,0,0,0,0,0,0,21,0,0,0,78,0,0,0,0,0,0,2,0,96,1990-08-20 00:00:00,0,0,2,0,0
0,olivia chance,323189,0,2,midfielder,3,1,3,30.8,161.0,0,0,new zealand,0,0,0,0,0,63,0,25,0,0,0,0,22,0,2,0,0,0,0,1,3,0,0,0,3,0,40,0,0,0,18,0,0,0,0,0,0,1,0,268,1993-10-05 00:00:00,0,0,3,0,0
1,rosie white,300469,0,2,forward,3,0,0,28.6,165.0,0,0,new zealand,0,0,0,0,0,59,0,26,1,3,0,0,13,0,2,2,0,1,25,2,4,0,0,0,2,0,38,0,0,0,106,0,0,0,0,0,0,5,0,253,1993-06-06 00:00:00,0,0,3,0,0
,steph skilton,323196,,,defender,,,,,175.0,,,new zealand,,,,,,,,24,,,,,18,,,,,,0,,,,,,,,,,,,10,,,,,,,,,,1994-10-27 00:00:00,,,,,
0,hannah wilkinson,321169,0,0,forward,0,0,0,5.2,176.0,0,0,new zealand,0,0,0,0,0,5,0,27,0,0,0,0,17,0,0,0,0,0,25,0,0,0,0,0,0,0,4,0,0,0,93,0,0,0,0,0,0,1,0,39,1992-05-28 00:00:00,0,0,2,0,0
,victoria esson,301468,,,goalkeeper,,,,,173.0,,,new zealand,,,,,,,,28,,,,,21,,,,,,0,,,,,,,,,,,,4,,,,,,,,,,1991-03-06 00:00:00,,,,,
,nicole stratford,302309,,,defender,,,,,177.0,,,new zealand,,,,,,,,30,,,,,5,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,1989-02-01 00:00:00,,,,,
0,katie duncan,252514,0,0,midfielder,0,0,0,7.2,161.0,0,0,new zealand,0,0,0,0,0,34,0,31,0,0,0,0,16,0,4,0,0,0,1,3,0,0,1,0,0,0,27,0,0,0,125,0,0,0,0,0,0,0,0,68,1988-02-01 00:00:00,0,0,1,0,0
0,paige satchell,377262,0,0,forward,1,0,0,2.5,160.0,0,0,new zealand,0,0,0,0,0,0,0,21,0,0,0,0,19,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,17,1998-04-13 00:00:00,0,0,1,0,0
0,abby erceg,252501,0,0,defender,2,0,0,29,177.0,0,0,new zealand,0,0,0,0,0,87,0,29,0,0,0,0,8,0,10,0,0,0,6,6,2,0,6,0,2,0,59,0,0,0,141,0,0,0,0,0,0,0,0,270,1989-11-20 00:00:00,0,0,3,0,0
0,rebekah stott,355896,0,2,defender,0,1,0,28.3,172.0,0,0,new zealand,0,0,0,0,0,109,0,26,0,0,0,0,6,0,11,0,0,0,4,5,0,0,3,0,0,0,70,0,0,0,77,0,0,0,0,0,0,0,0,270,1993-06-17 00:00:00,0,0,3,0,0
0,c.j. bott,358189,0,1,defender,0,2,0,12.4,165.0,0,0,new zealand,0,0,0,0,0,47,0,24,0,0,0,0,4,0,3,0,0,0,1,2,0,0,2,0,0,0,25,0,0,0,20,0,0,0,0,0,0,0,0,108,1995-04-22 00:00:00,0,0,2,0,0
,sarah morton,377258,,,defender,,,,,166.0,,,new zealand,,,,,,,,20,,,,,15,,,,,,1,,,,,,,,,,,,7,,,,,,,,,,1998-08-28 00:00:00,,,,,
,nadia olla,397013,,,goalkeeper,,,,,169.0,,,new zealand,,,,,,,,19,,,,,23,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,2000-02-07 00:00:00,,,,,
1,betsy hassett,298792,0,0,midfielder,1,3,0,22.9,158.0,0,0,new zealand,0,0,0,0,0,58,0,28,1,0,0,0,12,0,3,2,0,1,13,4,2,0,1,0,0,0,36,0,0,0,116,0,0,0,0,0,0,4,0,174,1990-08-04 00:00:00,0,0,3,0,0
1,lucy bronze,300637,0,9,defender,3,12,0,67.6,171.0,0,0,england,0,0,1,0,0,503,0,27,4,0,0,0,2,0,27,4,0,3,8,16,7,1,1,0,2,0,392,1,0,0,75,0,0,0,0,0,0,7,0,630,1991-10-28 00:00:00,0,0,7,0,2
0,georgia stanway,397109,0,0,midfielder,3,3,2,14,162.0,0,0,england,0,0,3,0,0,29,0,20,3,1,0,0,19,0,4,0,0,0,1,4,6,0,0,0,3,0,22,0,0,0,13,0,0,0,0,0,0,3,0,108,1999-01-03 00:00:00,0,0,5,0,1
0,karen carney,236883,0,0,midfielder,1,0,0,8.3,162.0,0,0,england,0,0,1,0,0,31,0,31,1,0,0,0,20,0,0,1,0,1,32,1,2,0,0,0,0,0,21,0,0,0,144,0,0,0,0,0,0,0,0,52,1987-08-01 00:00:00,0,0,4,0,1
0,millie bright,414755,0,3,defender,0,0,0,43,178.0,0,0,england,0,0,0,0,0,299,0,25,0,0,0,1,6,0,18,0,0,0,0,2,0,0,2,0,0,0,257,0,0,0,32,0,0,0,0,0,0,3,0,412,1993-08-21 00:00:00,0,0,5,0,0
1,alex greenwood,387131,0,4,defender,2,9,12,37.1,167.0,0,0,england,0,0,2,0,0,286,0,25,2,0,0,0,3,0,10,1,0,0,3,8,4,0,1,0,1,0,217,1,0,0,41,0,0,0,0,0,0,4,0,360,1993-09-07 00:00:00,1,0,4,0,0
0,jade moore,296734,2,1,midfielder,1,0,0,26.1,165.0,0,0,england,0,0,1,0,0,126,0,28,4,0,0,0,16,0,6,0,0,0,1,4,5,0,0,0,4,0,101,0,0,0,50,0,0,0,0,0,0,7,0,217,1990-10-22 00:00:00,0,0,4,0,0
